ASIN,Title,Brand Name,Design Style,Category,Metal Color,Metal Type,Stone Type,Stone Shape,Carat,Price,Star Rating,Global Rating,Image URL,Product URL,Metal Info,Price_HKD
B0DKWHX7C4,"MSBLUE Moissanite Engagement Ring, 1.0-3.0 CT Cinderella Staircase Princess Cut, 14K Gold Vermeil, Rhodium Finish",MSBLUE,engagement,ring,14k gold plated,925,moissanite,princess,1.0-3.0 ct,489.99,4.5,4,https://m.media-amazon.com/images/I/517KnvHgcFL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DKWHX7C4,14k / gold,3821.92
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,https://www.amazon.com/dp/,N/A / N/A,
B0DG934Z14,"Amazon Essentials IGI Certified Lab Grown Diamond Eternity Band in Solid 14k Gold (VS1-VS2 Clarity, G-H Color) - Eternity Ring - Stackable Rings for Women",Amazon,eternity band,ring,14k gold plated,925,lab grown diamond,N/A,N/A,446.55,4.4,13,https://m.media-amazon.com/images/I/61FyXKVC9IL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DG934Z14,14k / gold,3483.09
B07TC7565N,1/2 Carat Diamond Cluster Engagement Ring in 10K Gold (I1-I2 Clarity),N/A,engagement,ring,white/yellow/rose,10k,diamond,N/A,1/2 carat,439.99,4,61,https://m.media-amazon.com/images/I/71v63ItNNyL._AC_UL320_.jpg,https://www.amazon.com/dp/B07TC7565N,10k / gold,3431.92
B072B82WBG,Jewelili 10K Yellow Gold 1/2 CTW Natural White Round & Baguette Diamond Cluster Ring for Women | Dainty Fine Jewelry with Gift Box,Jewelili,natural,ring,white/yellow/rose,10k,diamond,round,1/2 ctw,439.49,4.4,94,https://m.media-amazon.com/images/I/61JjTbEmAgL._AC_UL320_.jpg,https://www.amazon.com/dp/B072B82WBG,10k / yellow gold,3428.02
B0CZ612SMZ,"14K White Gold Engagement Ring, 3 Carat Pear Cut Moissanite Rings, 14k White Gold Engagement Ring",N/A,engagement,ring,white/yellow/rose,14k,moissanite,pear,3 carat,435.99,4.8,26,https://m.media-amazon.com/images/I/71zCOMdvj9L._AC_UL320_.jpg,https://www.amazon.com/dp/B0CZ612SMZ,14k / white gold,3400.72
B0CZ612SMZ,"14K White Gold Engagement Ring, 3 Carat Pear Cut Moissanite Rings, 14k White Gold Engagement Ring",N/A,engagement,ring,white/yellow/rose,14k,moissanite,pear,3 carat,435.99,4.8,26,https://m.media-amazon.com/images/I/71zCOMdvj9L._AC_UL320_.jpg,https://www.amazon.com/dp/B0CZ612SMZ,14k / white gold,3400.72
B0DFM51W7Q,"14K White Gold Engagement Ring, 3 Carat Radiant Cut Moissanite Rings, 14k White Gold Engagement Ring",N/A,engagement,ring,white/yellow/rose,14k,moissanite,radiant,3 carat,429.99,4.9,13,https://m.media-amazon.com/images/I/71Zi5dTrZKL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DFM51W7Q,14k / white gold,3353.92
B0CRKT5ZR6,1/2 Carat - 5 Carat Lab Grown Diamond Five Stone Ring | 14K Solid White or Yellow Gold Wedding Anniversary Band Ring | D-E Color and VS clarity,N/A,anniversary,ring,white/yellow/rose,14k,lab grown diamond,N/A,"1/2 carat, 5 carat",429.99,4.4,26,https://m.media-amazon.com/images/I/71ANjpK27nL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CRKT5ZR6,14k / yellow gold,3353.92
B0DZ1VHTJ6,"14K Moissanite Engagement Rings, 1ct Round Cut D Color Moissanite Ring, 14K Solitaire Engagement Rings for Women",N/A,solitaire,ring,white/yellow/rose,14k,moissanite,round,1ct,429.99,4.9,18,https://m.media-amazon.com/images/I/617SCVPRkKL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DZ1VHTJ6,14k / N/A,3353.92
B0DFM51W7Q,"14K White Gold Engagement Ring, 3 Carat Radiant Cut Moissanite Rings, 14k White Gold Engagement Ring",N/A,engagement,ring,white/yellow/rose,14k,moissanite,radiant,3 carat,429.99,4.9,13,https://m.media-amazon.com/images/I/71Zi5dTrZKL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DFM51W7Q,14k / white gold,3353.92
B0D6NBMWK5,"SAVEARTH DIAMONDS 1 1/4 CTTW Round Lab Created Moissanite & Lab Grown Diamond Double Halo Bridal Set Wedding Ring In 14k Gold Over Sterling Silver (1.25 Cttw), Gift For Her",SAVEARTH,bridal set ,ring,14k gold plated,925,lab grown diamond,round,"1/4 ct, 1.25 ct",421.99,4,224,https://m.media-amazon.com/images/I/71SuZGnJ-DL._AC_UL320_.jpg,https://www.amazon.com/dp/B0D6NBMWK5,14k / gold over sterling silver,3291.52
B09FTH4MBJ,"Lab Grown Diamond Wedding & Anniversary Bands for Women | 10K Yellow, White & Rose Gold Certified Diamond Rings, 1/10-1/2 Carat",Lab,anniversary,ring,white/yellow/rose,10k,lab grown diamond,N/A,1/10-1/2 carat,409.99,4.2,208,https://m.media-amazon.com/images/I/61GFebXazdL._AC_UL320_.jpg,https://www.amazon.com/dp/B09FTH4MBJ,10k / rose gold,3197.92
